DUID,Energy_MWh,Avg_MW,Fuel_Source,State,AEMO_Station_Name,CER_Power_Station_Name,Installed_Capacity_MW,Accreditation_Start_Date,,
KARSF1,33439.31833,3.817273782,Solar,VIC,Karadoc Solar Farm,Karadoc Solar Farm - VIC,112.459,24/10/2018,,
KIATAWF1,130927.0859,14.94601437,Wind,VIC,Kiata Wind Farm,Kiata Wind Farm - VIC,31.05,23/10/2017,,
KSP1,121829.6102,13.90748975,Solar,QLD,Kidston Solar Project Phase One,Kidston Solar One - Solar - Qld,63.168,5/12/2017,,
LEM_WIL,424961.21,48.51155365,Hydro,TAS,Lemonthyme / Wilmot Power Station,Lemonthyme/Wilmot,81.6,1/04/2001,,
LILYSF1,0,0,Solar,QLD,Lilyvale Solar Farm,Lilyvale Solar Farm - QLD,126.2016,15/02/2019,,
LI_WY_CA,910637.4882,103.9540512,Hydro,TAS,Catagunya / Liapootah / Wayatinah Power Station,Catagunya / Liapootah / Wayatinah Power Station - TAS,173.6,1/04/2001,,
LKBONNY1,198089.2671,22.61293003,Wind,SA,Lake Bonney Wind Farm Stage 1,Lake Bonney Wind Farm Stage 1,80.5,24/07/2004,,
LKBONNY2,392424.8862,44.79736144,Wind,SA,Lake Bonney Stage 2 Windfarm,Lake Bonney Wind Farm Stage 2,159,2/07/2007,,
LKBONNY3,99606.5445,11.3706101,Wind,SA,Lake Bonney Stage 3 Wind Farm,Lake Bonney Wind Farm Stage 3 - SA,39,28/05/2010,,
LK_ECHO,75209.75417,8.585588376,Hydro,TAS,Lake Echo Power Station,Lake Echo,32.4,1/04/2001,,
LRSF1,17497.7015,1.997454509,Solar,QLD,Longreach Solar Farm,Longreach Solar Farm QLD,17.3437,18/03/2018,,
MACARTH1,1069397.643,122.0773565,Wind,VIC,Macarthur Wind Farm,Macarthur Wind Farm - VIC,420,30/09/2012,,
MACKNTSH,373439.7083,42.63010369,Hydro,TAS,Mackintosh Power Station,Mackintosh,79.9,1/04/2001,,
MANSLR1,50293.12342,5.741224135,Solar,NSW,Manildra solar Farm,Manildra Solar Farm - NSW,55.872,1/05/2018,,
MCKAY1,168267.3392,19.20860037,Hydro,VIC,Bogong / Mackay Power Station,Bogong Hydro - VIC,147.6,5/10/2009,,
MEADOWBK,174078.2166,19.87194253,Hydro,TAS,Meadowbank Power Station,Meadowbank,40,1/04/2001,,
MERCER01,374411.7583,42.7410683,Wind,VIC,Mt Mercer Wind Farm,Mt Mercer Wind Farm - VIC,131.2,17/11/2013,,
MEWF1,114342.7458,13.05282486,Wind,QLD,Mount Emerald Wind Farm,Mount Emerald Wind Farm - Qld,180.45,20/08/2018,,
MLSP1,25801.1345,2.945334989,Solar,NSW,Mugga Lane Solar Park,Mugga Lane Solar Park - ACT,12.85,8/12/2016,,
MLWF1,66331.50825,7.572089983,Wind,VIC,Mortons Lane Wind Farm,Mortons Lane Wind Farm - VIC,19.5,1/11/2012,,
MOREESF1,152413.6997,17.39882417,Solar,NSW,Moree Solar Farm,MOREE SOLAR FARM,56,22/02/2016,,
MTGELWF1,103254.0292,11.78698963,Wind,VIC,Mt Gellibrand Wind Farm,Mt Gellibrand Wind Farm - VIC,138.6,12/06/2018,,
MTMILLAR,190198.243,21.7121282,Wind,SA,Mt Millar Wind Farm,Mt Millar Wind Farm,70,1/12/2005,,
MURRAY,1785630.02,203.8390434,Hydro,VIC,Murray Power Station,Murray Power Station,"1,722.60",1/04/2001,,
MUSSELR1,581409.2152,66.37091498,Wind,TAS,Musselroe Wind Farm,Musselroe Wind Farm - TAS,168,23/04/2013,,
NBHWF1,459287.1427,52.43003912,Wind,SA,North Brown Hill Wind Farm,North Brown Hill Wind Farm - SA,132.3,13/08/2010,,
NYNGAN1,247002.2472,28.19660356,Solar,NSW,Nyngan Solar Plant,Nyngan Solar Plant - NSW,102,21/03/2015,,
OAKLAND1,184557.4815,21.06820565,Wind,VIC,Oaklands Hill Wind Farm,Oaklands Hill Wind Farm - VIC,67.2,19/08/2011,,
PALOONA,136426.04,15.57374886,Hydro,TAS,Paloona Power Station,Paloona,28,1/04/2001,,
PARSF1,99093.26217,11.31201623,Solar,NSW,Parkes Solar Farm,Parkes Solar Farm - Solar - NSW,65.9232,20/12/2017,,
POAT110,"1,369,416.87",156.3261267,Hydro,TAS,Poatina Power Station,Poatina,327,1/04/2001,,
REECE1,"990,552.51",113.0767706,Hydro,TAS,Reece Power Station,Reece,231.2,1/04/2001,,
REPULSE,35089.97808,4.00570526,Hydro,TAS,Repulse Power Station,Repulse,28,1/04/2001,,
ROWALLAN,50406.83333,5.754204718,Hydro,TAS,Rowallan Power Station,Rowallan,10.45,1/04/2001,,
ROYALLA1,38594.98383,4.405820072,Solar,NSW,Royalla Solar Farm,Royalla Solar Farm - ACT,20,1/05/2014,,
RPCG,65574.76667,7.485703958,Biomass,QLD,Rocky Point Cogeneration Plant,Rocky Point Sugar Mill,30,13/02/2007,,
RRSF1,48984.49008,5.591836767,Solar,QLD,Ross River Solar Farm,Ross River Solar Farm - QLD,148.368,24/08/2018,,
RUBICON,0,0,Hydro,VIC,Rubicon Mountain Streams Station,Rubicon System,13.55,1/04/2001,,
SALTCRK1,102034.5792,11.64778301,Wind,VIC,Salt Creek Wind Farm,Salt Creek Wind Farm - VIC,54,6/06/2018,,
SAPHWF1,393779.8545,44.95203818,Wind,NSW,Sapphire Wind Farm,Sapphire Wind Farm - NSW,270,20/12/2017,,
SMCSF1,133213.9883,15.20707629,Solar,QLD,Sun Metals Solar Farm,Sun Metals -Solar- Qld,151.2249,15/03/2018,,
SNOWNTH1,459188.4416,52.41877187,Wind,SA,Snowtown Wind Farm Stage 2 North,Snowtown Wind Farm Stage 2 - SA,144,1/10/2013,,
SNOWSTH1,444928.9668,50.79097795,Wind,SA,Snowtown South Wind Farm,Snowtown South Wind Farm - SA,126,2/10/2013,,
SNOWTWN1,351187.0595,40.08984697,Wind,SA,Snowtown Wind Farm Units 1 And 47,Snowtown Wind Farm - SA,100.8,24/12/2007,,
SNOWYP,"2,393,147.99",273.1904095,Hydro,NSW,Tumut,Tumut,1750,1/04/2001,,
SRSF1,200.3166667,0.022867199,Solar,QLD,Susan River Solar Farm,Susan River Solar Farm - QLD,95.545,20/11/2018,,
STARHLWF,96576.93692,11.02476449,Wind,SA,Starfish Hill Wind Farm,Starfish Hill Wind Farm,33,3/01/2003,,
STWF1,98260.81558,11.21698808,Wind,NSW,Silverton Wind Farm,Silverton Wind Farm - NSW,198.94,12/05/2018,,
TARALGA1,299342.0622,34.17146829,Wind,NSW,Taralga Wind Farm,Taralga Wind Farm - NSW,106.8,22/12/2014,,
TARRALEA,615119.8083,70.2191562,Hydro,TAS,Tarraleah Power Station,Tarraleah,90,1/04/2001,,
TBSF1,0,0,Solar,SA,Tailem Bend Solar Project 1,Tailem Bend Solar - SA,127.2375,13/02/2019,,
TREVALLN,437296.8058,49.91972669,Hydro,TAS,Trevallyn Power Station,Trevallyn,83.6,1/04/2001,,
TRIBUTE,238129.5492,27.18373849,Hydro,TAS,Tribute Power Station,Tribute,82.8,1/04/2001,,
TUNGATIN,573016.9667,65.41289574,Hydro,TAS,Tungatinah Power Station,Tungatinah,125,1/04/2001,,
HydroLWF,399337.2741,45.58644682,Wind,SA,Hydroloo Wind Farm,Hydroloo Wind Farm - SA,130.8,20/08/2010,,
WAUBRAWF,642748.4305,73.3731085,Wind,VIC,Waubra Wind Farm,Waubra Wind Farm - VIC,192,10/03/2009,,
WEMENSF1,7368.604167,0.841164859,Solar,VIC,Wemen Solar Farm,Wemen Solar Farm - Vic,109.8714,7/11/2018,,
WGWF1,21902.69117,2.500307211,Wind,SA,Willogoleche Wind Farm,Willogoleche Wind Farm - SA,119.36,24/07/2018,,
WHITSF1,31331.84758,3.576694929,Solar,QLD,Whitsunday Solar Farm,WHITSUNDAY SOLAR FARM - QLD,68.8896,11/07/2018,,
WKIEWA1,"135,771.20",15.49899543,Hydro,VIC,West Kiewa Power Station,West Kiewa,62,1/04/2001,,
WOODLWN1,150237.1324,17.15035758,Wind,NSW,Woodlawn Wind Farm,Woodlawn Wind Farm - Tarago - NSW,48.3,31/05/2011,,
WOOLNTH1,510649.7838,58.29335432,Wind,TAS,Woolnorth Studland Bay / Bluff Point Wind Farm,Woolnorth Studland Bay,75,30/01/2007,,
WPWF,265466.5072,30.3043958,Wind,SA,Wattle Point Wind Farm,Wattle Point Wind farm,90.75,13/03/2005,,
WRWF1,520614.124,59.43083607,Wind,NSW,White Rock Wind Farm,White Rock Wind Farm - NSW,200.172,16/06/2017,,
YAMBUKWF,89176.96267,10.18001857,Wind,VIC,Yambuk Wind Farm,Yambuk Wind Farm,30,1/01/2007,,
YSWF1,83774.612,9.563311872,Wind,VIC,Yaloak South Wind Farm,Yaloak South Windfarm - VIC,28.7,1/12/2017,,
